adobe-source-han-sans-cn-fonts 2.000-2
tor 0.3.4.9-1
tor-browser-zh-cn 8.0.4-1
torsocks 2.3.0-1
tree 1.8.0-1
ttf-anonymous-pro 1.003-4
ttf-arphic-uming 0.2.20080216.1-6
ttf-dejavu 2.37-2
ttf-font-awesome 5.6.3-1
ttf-inconsolata 1:2.0.0.1-3
ttf-ionicons 4.5.1-1
ttf-monaco 6.1-3
ttf-wps-fonts 1.0-3.1
typora 0.9.60-2
unrar 1:5.6.8-1
unzip 6.0-13
usbutils 010-1
util-linux 2.33-3
v2ray 4.10.0-1
vagrant 2.2.2-1
vi 1:070224-3
vim 8.1.0570-1
virtualbox 6.0.0-2
visual-studio-code-bin 1.30.2-1
volumeicon 0.5.1-3
w3m 0.5.3.git20180125-1
weechat 2.3-1
weston 5.0.0-1
wewechat 1.1.7-5
wget 1.20.1-1
which 2.21-3
whois 5.4.0-1
wireshark-qt 2.6.6-1
woeusb-git 3.2.12.r0.g18e098b-1
wpa_supplicant 2:2.6-1
wps-office 10.1.0.6757-1
wqy-microhei 0.2.0_beta-9
wqy-zenhei 0.9.45-7
xclip 0.13-2
xdotool 3.20160805.1-2
xf86-video-intel 1:2.99.917+855+g746ab3bb-1
xflux 20130901-5
xfsprogs 4.19.0-1
xorg-fonts-misc 1.0.3-6
xorg-server 1.20.3-1
xorg-xbacklight 1.2.2-1
xorg-xfd 1.1.2-2
xorg-xfontsel 1.0.6-1
xorg-xhost 1.0.7-2
xorg-xinit 1.4.0-3
xorg-xkill 1.0.5-1
xorg-xrandr 1.5.0-2
xorg-xset 1.2.4-1
xorg-xwininfo 1.1.4-1
xterm 342-1
yay 9.0.1-3
you-get 0.4.1193-1
youtube-dl 2019.01.02-1
zaproxy 2.7.0-1
zip 3.0-8
zsh 5.6.2-1
